_id,date,title,season,episode,duration,watched
176,2017.11.20,15,4,9,42,False
177,2017.11.27,15,4,10,42,False
178,2017.12.11,15,4,11,42,False
179,2017.12.18,15,4,12,42,False
180,2018.01.15,15,4,13,42,False
181,2018.01.22,15,4,14,42,False
182,2018.01.29,15,4,15,42,False
183,2018.02.05,15,4,16,42,False
184,2017.11.13,16,3,1,27,True
185,2017.11.14,16,3,2,27,True
186,2017.11.15,16,3,3,27,True
187,2017.11.16,16,3,4,27,True
188,2017.11.17,16,3,5,27,True
189,2017.11.20,16,3,6,27,True
190,2017.11.21,16,3,7,27,True
191,2017.11.22,16,3,8,27,True
192,2017.11.23,16,3,9,27,True
193,2017.11.24,16,3,10,27,True
194,2017.11.27,16,3,11,27,True
195,2017.11.28,16,3,12,27,True
196,2017.11.29,16,3,13,27,True
197,2017.11.30,16,3,14,27,True
198,2017.12.01,16,3,15,27,True
199,2017.12.04,16,3,16,27,True
200,2017.12.05,16,3,17,27,True
201,2017.12.06,16,3,18,27,True
202,2017.12.07,16,3,19,27,True
203,2017.12.08,16,3,20,27,True
204,2017.12.11,16,3,21,27,True
205,2017.12.12,16,3,22,27,True
206,2017.12.13,16,3,23,27,True
207,2017.12.14,16,3,24,27,True
208,2017.12.15,16,3,25,27,False
209,2017.12.18,16,3,26,27,False
210,2017.12.19,16,3,27,27,False
211,2017.12.20,16,3,28,27,False
212,2017.12.21,16,3,29,27,False
213,2017.12.22,16,3,30,27,False
214,2017.12.25,16,3,31,27,False
215,2017.12.26,16,3,32,27,False
216,2017.12.27,16,3,33,27,False
217,2017.12.28,16,3,34,27,False
218,2017.12.29,16,3,35,27,False
219,2017.12.26,17,1,1,60,False
